NOTIFICATION,DESCRIPTION,PRIORITY,INITIAL RECOMMENDATION,State,NEW RECOMMENDATION,ENGINEERING REVIEW OUTCOMES
24981544,general corrosion with severe thick scaling on pipe with wall loss up to 5mm at 6 oclock orientation defect size l15mm x w 10mm min ultrasonic test reading at affected location 640mm nwt635mm sch 20,1,to be repaired/ replaced,revise,to be painted,remove pcv tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d
24981543,general corrosion with severe thick scaling on pipe with wall loss up to 5mm at 6 oclock orientation defect size l120mm x w 20mm min ultrasonic test reading at affected location 545mm nwt635mm sch 20,1,to be repaired/ replaced,revise,to be painted,remove pcv tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d
24981542,general corrosion with severe thick scaling on pipe elbow with wall loss approximately up to 4mm at 6 oclock orientation wall loss and ultrasonic test could not be taken due to uneven and rough surface,1,to be repaired/ replaced,revise,to be painted,remove pcv tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d
24981509,localized corrosion on piping with metal loss up to 35mmlength 50 mm width 40mm,1,to be repaired/ replaced,revise,to be painted,remove pcv tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d
24981483,general corrosion with thick scaling on pipe elbow at 09 03 oclock position external wall loss approximately up to 35mm with length 110mm x circumferential ri 30 rust area as per table 61 ptg 152008 min ultrasonic test reading at affected location 640mmnwt635mm sch 20,1,to be repaired/ replaced,revise,to be painted,remove pcv tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d
24981452,crevice corrosion on bolt nuts with ri5 90 rust area as per table 61 ptg 152008,1,to be repaired/ replaced,revise,to be rectified,verify if line is still in use.perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint. perform blast and paint. assess if insulation is still required
24981451,severely damaged insulation with exposed pipe and evidence of major corrosion under insulation with thick scaling on pipe elbow at 9 12 oclock position approximately wall loss up to 4mm at affected location with ri5 80 rust area as per table 61 ptg 152008 min ultrasonic test reading could not be taken due to rough surface,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint. perform blast and paint. assess if insulation is still required
24981430,crevice corrosion with severe scaling on neck flange with ri 5 60 rust area as per table 61 ptg 152008,1,to be rectified,revise,to be painted,verify if line is still in use.perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint. perform blast and paint. assess if insulation is still required
24981410,spot corrosion with coating failure on weldolet with ri 520 rust area as per table 61 ptg 152008 major sealant damaged on cladding connection with possible water inglass reinforced epoxyss,1,to be rectified,revise,to be painted,remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24981409,crevice corrosion on bolt nuts and flanges with ri 5 80 rust area as per table 61 ptg 152008,1,to be repaired/ replaced,revise,to be painted,remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24981406,crevice corrosion and coating failure on bolt nuts and flanges with ri 5 90 rust area as per table 61 ptg152008,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts verify if insulation still required
24981405,corrosion under insulation with severe scaling noted on weldolet with ri 5 30 rust area as per table 61 ptg 152008,1,to be rectified,revise,to be painted,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24981404,corrosion under insulation with severe scaling on piping approximately wall loss up to 4mm depth wall loss could not be measure by welding gauge due to limited space to assess with ri 520 rust area as per table 61 ptg 152008,1,to be rectified,revise,to be painted,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe studbolts and flanges to assess. if insulation still required
24981403,damaged insulation cladding and insulation exposed on insulated piping,1,to be rectified,revise,to be painted,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24981393,depleted bolt nuts between 50 70from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform further visual assessment. perform spot painting m1a on flange
24981388,general corrosion with severe scaling on valve body and flanges with ri 5 90 rust area as per table 61 ptg152008 valve handle missing,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform further visual assessment. perform spot painting m1a on flange
24981373,crevice corrosion and coating failure on bolt nuts with ri 5 80 rust area as per table 61 ptg 152008,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts and studbolts to assess. if insulation still required
24927935,valve flange on both inlet and outlet flange heavily corroded and exposed stud sections,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if linevalve is still in use.replace valve. perform spot painting on pipe flanges and studbolts after valve replacement
24927933,spool flange connected to valve heavily corroded on entire circumference,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform further visual assessment. perform spot painting m1a on flanges and studbolts
24927920,psv body missing 1 bolt at valve body,1,to be rectified,remain,to be rectified,transfer to mechanical static
24927916,partially damage insulation cladding with minor corrosion under insulation sign observed on exposed piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927909,bolt nut on top section corrode up to 50,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform further visual assessment. perform spot painting m1a on pipe flangeand studbolts
24927908,valve flange on both inlet and outlet flange heavily corroded and exposed stud sections,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if linevalve is still in use.replace valve. perform spot painting on pipe flanges and studbolts after valve replacement
24927907,spool flange connected to valve heavily corroded on entire circumference bolt nut corroded up to 50,1,to be repaired/ replaced,revise,to be painted,verify if linevalve is still in use. perform spot painting on pipe flanges and studbolts after valve replacement
24927900,partially damage insulation cladding with minor corrosion under insulation sign observed on exposed piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927870,valve flange heavily corroded and exposed stud section,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if linevalve is still in use.replace valve. perform spot painting on pipe flanges and studbolts after valve replacement
24927869,spool flange connected to valve heavily corroded on entire circumference,1,to be repaired/ replaced,revise,to be painted,verify if linevalve is still in use. perform spot painting on pipe flanges and studbolts after valve replacement valve require replacement from previous finding
24927863,partially damage insulation cladding with minor corrosion under insulation sign observed on exposed piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927862,partially removed insulation cladding with major corrosion under insulation sign observed on exposed piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927839,general corrosion on bolt at flange connection,1,to be repaired/ replaced,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927836,spot corrosion at insulation cladding and minor corrosion under insulation evidence,1,to be rectified,remain,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927832,piping observed with insulation gap and insulation damage exposed piping minor corrosion under insulation sign noted on piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation near branch connection. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927778,insulation gap and minor sign of corrosion under insulation observed on pipe support ps1 and ps2,1,to be rectified,revise,to be rectified,verify if line is still in use.apply sealant on gap
24927775,drain point piping observed with major metal loss on flange and blind,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.perform surface cleaning and visually inspect valve replace valve. if visual inspection shown valve is in bad condition to spot paint pipe flange and studbolts near valve after new valve installation
24927179,piping observed with insulation gap sign of corrosion under insulation and water accumulation observed on pipe support and lowest point of insulation,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation at bottom of pipe. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24927171,outlet valve flange observed with gasket deterioration,1,to be rectified,revise,to be painted,verify if line is still in use.perform surface cleaning. perform painting on flange bolts and nut with m1a coating. in between flange to flange use spray single pack zinc coating
24927096,valve top flange with major corroded,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if linevalve is still in use.replace valve. perform spot painting on pipe flanges and studbolts after valve replacement
24927092,pipe support missing during inspection,1,to be rectified,remain,to be rectified,verify line is still in use.verify if existing drawing has indicated pipe support below pipe shoe. if pipe routing  same and has no history of failure due to pipe stress existing routingbe maintained
24927091,sealant damage insulation damage and insulation gap observed on piping sign of corrosion under insulation observed on on insulated piping no corrosion under insulation sign observed,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24926979,insulation gap observed on top section insulation and minor sign of corrosion under insulation observed on bottom level of piping spool,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24926978,insulation gap and minor sign of corrosion under insulation observed on bottom level of piping spool at pipe support branch piping and bottom flange,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe and support to assess. if insulation still required
24926977,insulation gap and minor sign of corrosion under insulation observed on top piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24926974,insulation gap damage insulation and sign of minor corrosion under insulation associated with oil stain observe on piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges studbolts and support to assess. if insulation still required
24926973,insulation gap damage insulation and sign of minor corrosion under insulation associated with oil stain observe on piping,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges studbolts and support to assess. if insulation still required
24906233,perforated pipe support to ibeam,1,to be repaired/ replaced,remain,to be repaired/ replaced,perform surface cleaning remove existing angle bar install new pipe support using hilti
24906231,missing pipe support,1,to be repaired/ replaced,remain,to be repaired/ replaced,perform surface cleaning remove existing angle bar install new pipe support using hilti
24905365,observed sign of corrosion under insulation on straight pipe,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection check remaining life. if remaining life 3 years paint. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24904151,pipe direct contact with pipe support crevice corrosion with minor scaling at contact point,1,to be rectified,remain,to be rectified,perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint. perform spot painting m1a on pipe and support install irod
24904086,pipe direct contact with beam structure crevice corrosion with minor scaling at contact point,1,to be repaired/ replaced,revise,to be rectified,verify if line is still in use.to use ovolifts lift pipe. perform maintenance paint pipe and structure 4 install pad. in between pipe and support 5 to be made turnaround scope
24898811,general corrosion with minor scaling on pipe flangedepleted bolt or nuts between 2550 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove pvc tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24898771,general corrosion with surface rusting on valve bodyflangebolt nutsgasket deterioration,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove pvc tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897839,gasket deteriorationgeneral corrosion with surface rusting on valveflangegeneral corrosion with minor scaling on bolt nuts,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897838,general corrosion with surface rusting onpipeflangebolt nutsgasket deterioration,1,to be rectified,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897837,general corrosion with surface rusting on pipebolt nutsgasket deterioration,1,to be rectified,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897835,depleted bolt or nuts between 2550 from original thickness general corrosion with surface rusting on pipe flange,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897834,general corrosion with minor scaling on pipe flange depleted bolt or nuts between 2550 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove pvc tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897804,general corrosion with minor scaling on valve body depleted bolt or nuts between 2550 from original thickness gasket deterioration,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.remove pvc tape. perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24897803,general corrosion with minor scaling on valve body depleted bolt or nuts between 2550 from original thickness gasket deterioration,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24893783,pipe direct contact with pipe support crevice corrosion with thick scaling at contact point,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.to sectional replacement to do it during turnaround consider using bonlok
24925961,insulation gap observed on piping support connection,1,to be rectified,remain,to be rectified,apply sealant to close gap
24925959,gasket and stud on flange connection corroded and minor scaling,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925958,all bolt nut corroded approximate 30 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925953,gasket and stud on valve to blind flange minor corroded,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925952,gasket on hpv flange to valve connection at corroded,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925950,blind flange observed corroded estimated 30from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925947,gasket and stud on valve to blind flange minor corroded,1,to be repaired/ replaced,remain,to be repaired/ replaced,perform gasket studbolts and blind flange changeout. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925946,gasket on lpd flange to valve connection at minor corroded,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925943,gasket and stud on flange connection minor corroded,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925942,7 of nuts at 10 top flange connection observed with corroded between estimated 3050 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925930,5 of nuts at 10 top flange connection observed with corroded between estimated 3050 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925926,coating failure and appearance of atmospheric corrosion up to 30 50 of bolt or nuts surface,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925924,1 low drain point piping observed with gasket deteriorated,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning to assess severity of gasket deterioration. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925923,1 low drain point piping flanges and blind observed with all bolt corroded 2550 from original thickness,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning to assess severity of gasket deterioration. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925921,10 piping flanges observed with gasket deteriorated,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925918,gasket and stud on flange connection corroded and minorscaling,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925917,3 bolt nut at top section corroded nuts more than 50 from original thickness,1,to be repaired/ replaced,revise,to be painted,perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925853,piping observed with crevice location at 2 locations,1,to be rectified,remain,to be rectified,verify if line is still in use.perform surface cleaning for cups issue lift pipe. perform surface cleaning . perform spot painting install irod for pipe to structure clashing to chamfertrim protruding structure accordingly
24925852,2 bolt observed corroded more than 50 from original thickness on upstream flange,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925849,insulation gap control valve fcb1500b,1,to be rectified,remain,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection to check severity of corrosion under insulation. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24925848,thick scaling observed valve body,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925847,blind flange corroded and heavy scale,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925846,stud and bolt gasket corroded and heavy scale on both inlet and outlet valve,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925845,lpd drain piping near fcb1500b with major corrosion under insulationsign from main piping maximum metal loss is 4mm further assessment  carried out and thickness is 154mm,1,to be rectified,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925844,gasket on inlet flange with gasket deterioration,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925840,5 bolt observed corroded more than 50from original thickness on upstream flange 5 bolt observed corroded more than 50 from original thickness on downstreamflange,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel selected area flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925837,gasket and stud bolt on both upstream and downstreamflanges connection with minor scaling,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925836,valve and flange on downstream side observed with corroded more than 50 from original thickness,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning replace valve. perform spot paint handwheel pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925831,insulated piping observed with insulation gap on pipeshoe penetration joint no corrosion under insulation trace observed,1,to be rectified,remain,to be rectified,apply sealant on gap
24925830,insulated piping observed with missing insulation cladding no sign of corrosion under insulation observed on piping,1,to be rectified,revise,to be rectified,verify if line is still in use.verify if insulation is required. if insulation is required reinstate insulation
24925829,gasket deterioration observed both upstream and downstream flange connection,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925828,4 bolt each upstream and downstream observed corroded more than 25 at orientation 4 to 8 oclock,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint handwheel pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925823,insulated piping observed with insulation gap on pipeshoe penetration joint no corrosion under insulation trace observed,1,to be rectified,remain,to be rectified,apply sealant to seal gap
24925819,piping observed insulation gap at pipe shoe and missing insulation with exposed steel minor sign of corrosion under insulation observed,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection. perform visual inspection on severity of corrosion. perform spot painting on pipe flanges and studbolts to assess. if insulation still required. install cchaelplate to close gap between shoe and pipe support boltsed
24925818,all nut observed corroded more than 50 bolt observed with thick painting,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.perform surface cleaning replace valve. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925816,valve flange observed with corroded more than 50 of original thickness,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.perform surface cleaning replace valve. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925814,all nut observed corroded more than 50 bolt observed with painting failure,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925810,generally all top nut observed corroded more than 25 bolt observed with minor scaling,1,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24925801,piping observed with damage insulation and evidence of minor corrosion under insulation,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection. perform visual inspection. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24925795,fine leak observed on 2 flange which located under reboiler e720,1,to be repaired/ replaced,remain,to be repaired/ replaced,verify if it is still leaking replace gasket and studbolts
24925758,piping observed with detached insulation and evidence of minor corrosion under insulation,1,to be rectified,revise,to be rectified,verify if line is still in use.remove insulation. perform surface cleaning and inspection. perform visual inspection. perform spot painting on pipe flanges and studbolts to assess. if insulation still required
24902827,severely corroded with metal loss and perforation on caisson body,1,to be repaired/ replaced,remain,to be repaired/ replaced,check if caissonline is still in use.verify if issue  resolved to sectional replacement
24881920,active localized corrosion scaling and perforated observed at helideck truss structure with metal loss 50 of member cross section area,1,to be repaired/ replaced,remain,to be repaired/ replaced,check if caissonline is still in use.verify if issue  resolved to sectional replacement
24881840,active localize corrosion with perforated and metal loss observed on ladder at subcellar deck,1,to be repaired/ replaced,remain,to be repaired/ replaced,check if structures still in use.verify if issue  resolved to sectional replacement
24981541,localized corrosion with severe scaling on piping at 12oclock position wall loss up to 4mm defect size l 45mm w 40mmmin ultrasonic test reading at affected location 705mm nwt635mm sch 20,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint. perform spot painting m1a on pipe and support
24981505,coating failure with appearance of atmospheric corrosion on bolt nuts with ri 50 70 rust area as per table 61 ptg 152008,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24981481,coating failure with appearance of atmospheric corrosion on bolt nuts with ri 50 70 rust area as per table 61 ptg 152008,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24981455,crevice corrosion on bolt nuts at flange with ri 5 70 rust area as per table 61 ptg 152008,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24981381,crevice corrosion with paint flaking on valve body flanges and bolt nuts with ri 5 70 rust area as pertable 61 ptg 152008,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24927936,bolt nut on top section corrode up to 50,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24927934,general corrosion on bolt at flange connection connected to valve,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform further visual assessment. perform spot painting m1a on flange
24927913,general corrosion on bolt at flange connection,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24927897,general corrosion on bolt at flange connection,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24927780,beam support at pipe support ps2 observed major corroded,2,to be repaired/ replaced,remain,to be repaired/ replaced,verify if line is still in use.to sectional replacement on pipe shoe spot painting on support
24927777,damage isolation kits on dissimilar flange connection boltnut major corrode,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform visual inspection. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24927164,bottom flange and bolt with painting failure and minor scaling,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe elbow flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24926552,crevice corrosion in contact point noted at pipe support with thick scaling,2,to be repaired/ replaced,revise,to be rectified,verify if line is still in use.perform surface cleaning and measure depth of corrosion check remaining life. if remaining life 3 years paint lift pipe. perform spot painting m1a on pipe and support install irod with ubolts
24926532,gasket deteriorated with thick scaling,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24914660,observed minor corrosion on boltobserved paint flaking on flange,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24914659,observed general corrosion on boltobserved paint flaking on flange,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24914658,observed general corrosion on bolt observed paint flaking on flange,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange valve and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24914657,observed general corrosion on bolt observed paint flaking on flange,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
24914656,observed general corrosion on bolt,2,to be repaired/ replaced,revise,to be painted,verify if line is still in use.perform surface cleaning. perform spot paint pipe flange and stud bolts. rust grade d. apply single pack zinc on space in between flanges
